"","ID","FL_mm","X13c_tissue_lediscrim","X13c_value_lediscrim","cluster_2018.2019"
"1","GLCD022019",359,"d13C_PLAS",-22.26283628,2
"2","GLCD022019",359,"d13C_RBC",-20.87,2
"3","GLCD032018",556,"d13C_PLAS",-20.02,1
"4","GLCD032018",556,"d13C_RBC",-19.94,1
"5","GLCD082019",400,"d13C_PLAS",-23.04644906,2
"6","GLCD082019",400,"d13C_RBC",-20.86,2
"7","GLCD092018",410,"d13C_PLAS",-21.52,2
"8","GLCD092018",410,"d13C_RBC",-20.89,2
"9","GLCD092019",445,"d13C_PLAS",-22.04749124,1
"10","GLCD092019",445,"d13C_RBC",-19.18,1
"11","GLCD102018",393,"d13C_RBC",-21.08,1
"12","GLCD102018",393,"d13C_PLAS",-21.22,1
"13","GLCD112018",370,"d13C_RBC",-21.71,1
"14","GLCD112018",370,"d13C_PLAS",-21.94,1
"15","GLCD122018",346,"d13C_RBC",-21.2,2
"16","GLCD122018",346,"d13C_PLAS",-22.34,2
"17","GLCD132018",447,"d13C_RBC",-20.94,1
"18","GLCD132018",447,"d13C_PLAS",-21.82,1
"19","GLCD132019",340,"d13C_PLAS",-23.2236541,1
"20","GLCD132019",340,"d13C_RBC",-20.34,1
"21","GLCD142019",330,"d13C_RBC",-20.96,1
"22","GLCD142019",330,"d13C_PLAS",-23.28402564,1
"23","GLCD152019",460,"d13C_PLAS",-19.60591378,1
"24","GLCD152019",460,"d13C_RBC",-21.62,1
"25","GLCD162019",390,"d13C_PLAS",-23.53909657,1
"26","GLCD162019",390,"d13C_RBC",-20.89,1
"27","GLCD192019",450,"d13C_PLAS",-23.40768694,2
"28","GLCD192019",450,"d13C_RBC",-21.25,2
"29","GLCD212019",370,"d13C_RBC",-21.35,1
"30","GLCD212019",370,"d13C_PLAS",-23.39623102,1
"31","GLCD232018",380,"d13C_RBC",-21.17,2
"32","GLCD232018",380,"d13C_PLAS",-21.54,2
"33","GLCD242019",345,"d13C_PLAS",-23.56648976,1
"34","GLCD242019",345,"d13C_RBC",-21.36,1
"35","GLCD262018",465,"d13C_RBC",-21.02,2
"36","GLCD262018",465,"d13C_PLAS",-20.86,2
"37","GLCD292019",285,"d13C_PLAS",-23.2549776,1
"38","GLCD292019",285,"d13C_RBC",-21.37,1
"39","GLCD302019",360,"d13C_PLAS",-24.2226985,1
"40","GLCD302019",360,"d13C_RBC",-21.49,1
"41","GLCD372018",447,"d13C_RBC",-20.89,1
"42","GLCD372018",447,"d13C_PLAS",-20.69,1
"43","GLCD372019",472,"d13C_RBC",-21.62,1
"44","GLCD372019",472,"d13C_PLAS",-21.05870293,1
"45","GLCD382019",316,"d13C_PLAS",-23.76061157,1
"46","GLCD382019",316,"d13C_RBC",-21.62,1
"47","GLCD422019",302,"d13C_PLAS",-23.27317728,1
"48","GLCD422019",302,"d13C_RBC",-21.03,1
"49","GLCD432019",335,"d13C_PLAS",-23.40014069,1
"50","GLCD432019",335,"d13C_RBC",-20.87,1
"51","GLCD482019",350,"d13C_PLAS",-23.33079194,1
"52","GLCD482019",350,"d13C_RBC",-21.36,1
"53","GLCD632018",442,"d13C_RBC",-20.16,2
"54","GLCD632018",442,"d13C_PLAS",-20.65,2
"55","GLCD652018",516,"d13C_RBC",-18.85,2
"56","GLCD652018",516,"d13C_PLAS",-19.23,2
"57","GLCD712018",470,"d13C_RBC",-20.82,2
"58","GLCD712018",470,"d13C_PLAS",-21.18,2
"59","GLCD722018",455,"d13C_RBC",-20.02,2
"60","GLCD722018",455,"d13C_PLAS",-20.42,2
"61","GLCD732018",430,"d13C_RBC",-21.17,2
"62","GLCD732018",430,"d13C_PLAS",-22.09,2
